,ID,Condition,Sentence,Construction,Semantic_Role,Sentence_score_(GPT),Sentence_score_(BERT)
213,43,AT – AT,"The tailor will sew the parachute, and the doctor will the shoe",Pseudo-gapping,Patient,-5.187357425689697,-2.5792200406392416
214,43,T – SP violation,"The tailor will sew the dress, and the doctor will the banana.",Pseudo-gapping,Patient,-4.781074047088623,-1.8005337715148926
215,44,T – T,"The fighter will kick the opponent, and the footballer will the ball.",Pseudo-gapping,Patient,-4.279716968536377,-2.569570916039603
216,44,T – AT,"The fighter will kick the opponent, and the footballer will the vase.",Pseudo-gapping,Patient,-4.680511474609375,-2.977315051215036
217,44,AT – T,"The fighter will kick the television, and the footballer will the ball.",Pseudo-gapping,Patient,-4.686943054199219,-3.355800594602312
218,44,AT – AT,"The fighter will kick the television, and the footballer will the vase.",Pseudo-gapping,Patient,-5.011662483215332,-3.7316998754228874
219,44,T – SP violation,"The fighter will kick the opponent, and the footballer will the water.",Pseudo-gapping,Patient,-4.886326313018799,-3.454515593392508
220,45,T – T,"The climber will climb the rock, and the librarian will the ladder.",Pseudo-gapping,Patient,-4.127223491668701,-2.2691864649454754
221,45,T – AT,"The climber will climb the rock, and the librarian will the tree.",Pseudo-gapping,Patient,-4.153506278991699,-2.163574155171712
222,45,AT – T,"The climber will climb the staircase, and the librarian will the ladder.",Pseudo-gapping,Patient,-4.104077339172363,-2.4207324345906573
223,45,AT – AT,"The climber will climb the staircase, and the librarian will the tree.",Pseudo-gapping,Patient,-4.377894401550293,-2.7273496945699054
224,45,T – SP violation,"The climber will climb the rock, and the librarian will the snow. ",Pseudo-gapping,Patient,-4.399804592132568,-2.610986423492432
225,46,T – T,"I know the electrician is checking something, but I don’t know what.",Sluicing,Patient,-4.0309648513793945,-2.617174541248995
226,46,T – AT,"I know the electrician is checking something, but I don’t know who.",Sluicing,Patient,-4.276752471923828,-3.140550220713896
227,46,AT – T,"I know the electrician is checking someone, but I don’t know what.",Sluicing,Patient,-4.591449737548828,-3.1122650819666244
228,46,AT – AT,"I know the electrician is checking someone, but I don’t know who.",Sluicing,Patient,-4.463396072387695,-3.0687664536868824
229,46,T – SP violation,"I know the electrician is checking something, but I don’t know whom.",Sluicing,Patient,-4.497878074645996,-3.3498769086949967
230,47,T – T,"The dog carried something, but I didn’t know what.",Sluicing,Patient,-4.6679558753967285,-3.8934478759765625
231,47,T – AT,"The dog carried something, but I didn’t know when.",Sluicing,Patient,-5.225661754608154,-4.799193749060998
232,47,AT – T,"The dog carried someone, but I didn’t know what.",Sluicing,Patient,-5.175612449645996,-4.191387029794546
233,47,AT – AT,"The dog carried someone, but I didn’t know when. ",Sluicing,Patient,-5.465301513671875,-4.55316239136916
234,47,T – SP violation,"The dog carried something, but  I didn’t know whom.",Sluicing,Patient,-6.4587273597717285,-4.730308385995718
235,48,T – T,"The teenager is hearing something, but his friend doesn’t know what.",Sluicing,Patient,-4.946593761444092,-3.1726412455240887
236,48,T – AT,"The teenager is hearing something, but his friend doesn’t know who.",Sluicing,Patient,-5.41278600692749,-3.651623662312825
237,48,AT – T," The teenager is hearing someone, but his friend doesn’t know what. ",Sluicing,Patient,-5.061782836914063,-3.9122223536173504
238,48,AT – AT,"The teenager is hearing someone, but his friend doesn’t know who.",Sluicing,Patient,-5.18381929397583,-3.662144597371419
239,48,T – SP violation,"The teenager is hearing something, but his friend doesn’t know  whom.",Sluicing,Patient,-6.314482688903809,-3.999811935424805
240,49,T – T,"The housewife is mopping something, but Sam doesn’t know what.",Sluicing,Patient,-5.21046781539917,-3.2794045507907867
241,49,T – AT,"The housewife is mopping something, but Sam doesn’t know who.",Sluicing,Patient,-5.443146228790283,-3.5142626762390137
242,49,AT – T,"The housewife is mopping someone, but Sam doesn’t know what.",Sluicing,Patient,-5.801940441131592,-3.667339652776718
243,49,AT – AT,"The housewife is mopping someone, but Sam doesn’t know who.",Sluicing,Patient,-5.710675239562988,-3.6533032953739166
244,49,T – SP violation,"The housewife is mopping something, but Sam doesn’t know  whom.",Sluicing,Patient,-6.330124855041504,-3.8166021704673767
245,50,T – T,"The speleologist is examining something, but we don’t know what.",Sluicing,Patient,-4.754624366760254,-2.6989623799043545
246,50,T – AT,"The speleologist is examining something, but we don’t know who. ",Sluicing,Patient,-5.257350921630859,-3.130685694077436
247,50,AT – T,"The speleologist is examining someone, but we don’t know what.",Sluicing,Patient,-5.100237846374512,-3.085066739250632
248,50,AT – AT,"The speleologist is examining someone, but we don’t know who.",Sluicing,Patient,-4.983161926269531,-2.6546248267678654
249,50,T – SP violation,"The speleologist is examining something, but we don’t know  whom.",Sluicing,Patient,-5.908110618591309,-3.390014311846565
250,51,T – T,"The businessman paid the bill with his credit card, and the student did with cash.",VP-ellipsis,Instrument,-3.778278589248657,-2.2758189089158
251,51,T – AT,"The businessman paid the bill with his credit card, and the student did with a bank transfer. ",VP-ellipsis,Instrument,-3.870509386062622,-2.9884243764375387
252,51,AT – T,"The businessman paid the bill with coins, and the student did with cash. ",VP-ellipsis,Instrument,-4.649913311004639,-2.6049808502197265
253,51,AT – AT,"The businessman paid the bill with coins, and the student did with a bank transfer. ",VP-ellipsis,Instrument,-4.557083606719971,-3.672675637637868
254,51,T – SP violation,"The businessman paid the bill with his credit card, and the student did with his hair.",VP-ellipsis,Instrument,-3.899933338165283,-2.275033606423272
255,52,T – T,"The dog drank water with the bowl, and the man did with the glass.",VP-ellipsis,Instrument,-3.872605562210083,-2.2761579155921936
256,52,T – AT,"The dog drank water with the bowl, and the man did with the dish. ",VP-ellipsis,Instrument,-4.148946762084961,-2.4105738401412964
257,52,AT – T,"The dog drank water with the bottle, and the man did with the glass. ",VP-ellipsis,Instrument,-4.189762592315674,-2.0520219802856445
258,52,AT – AT,"The dog drank water with the bottle, and the man did with the dish. ",VP-ellipsis,Instrument,-4.30309009552002,-2.510263741016388
259,52,T – SP violation,"The dog drank water with the bowl, and the man did with the ball. ",VP-ellipsis,Instrument,-4.246269226074219,-2.526778817176819
260,53,T – T,"The mother prepares the food with the microwave, the cook will with the oven. ",VP-ellipsis,Instrument,-4.506277084350586,-3.225837230682373
261,53,T – AT,"The mother prepares the food with the microwave, the cook will with the kiln. ",VP-ellipsis,Instrument,-4.705941200256348,-2.987210141287909
262,53,AT – T,"The mother prepares the food with the bonfire, the cook will with the oven.",VP-ellipsis,Instrument,-4.524320125579834,-2.9069737328423395
263,53,AT – AT,"The mother prepares the food with the bonfire, the cook will with the kiln.",VP-ellipsis,Instrument,-4.527241230010986,-2.4040063858032226
264,53,T – SP violation,"The mother prepares the food with the microwave, the cook will with the madness. ",VP-ellipsis,Instrument,-5.292731761932373,-4.447555989027023
265,54,T – T,"The singer performed the music with the guitar, the musician will with the bass. ",VP-ellipsis,Instrument,-4.775527000427246,-2.6843804717063904
266,54,T – AT,"The singer performed the music with the guitar, the musician will with the headphones. ",VP-ellipsis,Instrument,-5.073744297027588,-2.6086397451512955
267,54,AT – T,"The singer performed the music with the megaphone, the musician will with the bass. ",VP-ellipsis,Instrument,-4.67133903503418,-2.52216378847758
268,54,AT – AT,"The singer performed the music with the megaphone, the musician will with the headphones. ",VP-ellipsis,Instrument,-4.689676284790039,-2.30652874394467
269,54,T – SP violation,"The singer performed the music with the guitar, the musician will with the pocket. ",VP-ellipsis,Instrument,-5.387555122375488,-3.409633547067642
270,55,T – T,"The doctor healed the patient with the antibiotic, and the osteopath will with a massage.",VP-ellipsis,Instrument,-4.685559272766113,-2.2988491966610862
271,55,T – AT,"The doctor healed the patient with the antibiotic, and the osteopath will with soda. ",VP-ellipsis,Instrument,-5.219776153564453,-2.805013084411621
272,55,AT – T,"The doctor healed the patient with the gasoline, and the osteopath will with a massage. ",VP-ellipsis,Instrument,-5.130259037017822,-2.850203108787537
273,55,AT – AT,"The doctor healed the patient with the gasoline, and the osteopath will with soda. ",VP-ellipsis,Instrument,-5.345511436462402,-3.228387531481291
274,55,T – SP violation,"The doctor healed the patient with the antibiotic, and the osteopath will with sunglasses. ",VP-ellipsis,Instrument,-5.235100746154785,-2.825349187850952
275,56,T – T,"The father drank milk with the cup, and the newborn did the same thing with the bottle.",Do-x/ Do-so anaphora,Instrument,-3.953911781311035,-2.2308108681126644
276,56,T – AT,"The father drank milk with the cup, and the newborn did the same thing with the glass. ",Do-x/ Do-so anaphora,Instrument,-4.222988128662109,-2.202558241392437
277,56,AT – T,"The father drank milk with the dish, and the newborn did the same thing with the bottle.  ",Do-x/ Do-so anaphora,Instrument,-4.252942085266113,-2.475566738530209
278,56,AT – AT,"The father drank milk with the dish, and the newborn did the same thing with the glass. ",Do-x/ Do-so anaphora,Instrument,-4.205889225006104,-2.555751926020572
279,56,T – SP violation,"The father drank milk with the cup, and the newborn did the same thing with the painting. ",Do-x/ Do-so anaphora,Instrument,-4.688753604888916,-2.7092744425723425
280,57,T – T,"The mechanic fixed the bike with a wrench, and so did the cyclist with a screwdriver.  ",Do-x/ Do-so anaphora,Instrument,-4.226770401000977,-1.097705909184047
281,57,T – AT,"The mechanic fixed the bike with a wrench, and so did the cyclist with a spoon. ",Do-x/ Do-so anaphora,Instrument,-4.5570831298828125,-1.76116607063695
282,57,AT – T,"The mechanic fixed the bike with a tape, and so did the cyclist with a screwdriver. ",Do-x/ Do-so anaphora,Instrument,-4.2760162353515625,-1.77912700176239
283,57,AT – AT,"The mechanic fixed the bike with a tape, and the cyclist did that with a spoon. ",Do-x/ Do-so anaphora,Instrument,-4.816202640533447,-2.3957114219665527
284,57,T – SP violation,"The mechanic fixed the bike with a wrench, and the cyclist did that with the potato. ",Do-x/ Do-so anaphora,Instrument,-5.074363231658936,-2.1213362342432927
285,58,T – T,"The child played with toys, and the teenager did so with videogames too.",Do-x/ Do-so anaphora,Instrument,-4.276750564575195,-0.9723378349752988
286,58,T – AT,"The child played with toys, and the teenager did so with food too.",Do-x/ Do-so anaphora,Instrument,-4.376622676849365,-1.4238241831461589
287,58,AT – T,"The child played with money, and the teenager did so with videogames too.",Do-x/ Do-so anaphora,Instrument,-4.508760452270508,-1.6194383957806755
288,58,AT – AT,"The child played with money, and the teenager did so with food too.",Do-x/ Do-so anaphora,Instrument,-4.523720264434815,-1.875958220163981
289,58,T – SP violation,"The child played with toys, and the teenager did so with the sun too.",Do-x/ Do-so anaphora,Instrument,-4.40986442565918,-2.362520813941956
290,59,T – T," The terrorist escaped with weapons, and so did civilians with supplies. ",Do-x/ Do-so anaphora,Instrument,-5.167405605316162,-2.4383526948782115
291,59,T – AT,"The terrorist escaped with weapons, and so did civilians with the jewelry. ",Do-x/ Do-so anaphora,Instrument,-5.511826992034912,-2.733277831758772
292,59,AT – T,"The terrorist escaped with flowers, and so did civilians with supplies.",Do-x/ Do-so anaphora,Instrument,-5.630446910858154,-2.843502814953144
293,59,AT – AT,"The terrorist escaped with flowers, and so did civilians with the jewelry.",Do-x/ Do-so anaphora,Instrument,-5.605682373046875,-3.141423429761614
294,59,T – SP violation," The terrorist escaped with weapons, and so did civilians with the sea.",Do-x/ Do-so anaphora,Instrument,-5.301522731781006,-3.748086793082101
295,60,T – T,"The tailor sewed with the sewing-machine, and the doctor did the same thing with the needle.",Do-x/ Do-so anaphora,Instrument,-3.482713222503662,-0.9990965019572864
296,60,T – AT,"The tailor sewed with the sewing-machine, and the doctor did the same thing with scissors.",Do-x/ Do-so anaphora,Instrument,-3.7607250213623047,-0.7006158414094344
297,60,AT – T,"The tailor sewed with the pen, and the doctor did the same thing with the needle.",Do-x/ Do-so anaphora,Instrument,-3.682896137237549,-1.4538124322891235
298,60,AT – AT,"The tailor sewed with the pen, and the doctor did the same thing with scissors.",Do-x/ Do-so anaphora,Instrument,-4.070915699005127,-1.2397855804080056
299,60,T – SP violation,"The tailor sewed with the sewing-machine, and the doctor did the same thing with the river.",Do-x/ Do-so anaphora,Instrument,-4.046914100646973,-1.255565513264049
300,61,T – T,"The child draws flowers with the pencil, and the painter with the brush.",Gapping,Instrument,-3.877788543701172,-1.639200115203857
301,61,T – AT,"The child draws flowers with the pencil, and the painter with the highlighter. ",Gapping,Instrument,-4.357067584991455,-2.042444795370102
302,61,AT – T,"The child draws flowers with the scalpel, and the painter with the brush.",Gapping,Instrument,-3.9629995822906494,-1.8353179395198824
303,61,AT – AT,"The child draws flowers with the scalpel, and the painter with the highlighter.",Gapping,Instrument,-4.046906471252441,-2.201231928432689
304,61,T – SP violation,"The child draws flowers with the pencil, and the painter with the snow.",Gapping,Instrument,-4.883066654205322,-3.2042709668477376
305,62,T – T,"The hairstylist fixes the hair with the hairdryer, and the barber with the gel.",Gapping,Instrument,-3.1557421684265137,-1.05073222247037
306,62,T – AT,"The hairstylist fixes the hair with the hairdryer, and the barber with Vaseline.",Gapping,Instrument,-3.2444636821746826,-0.6305864168250043
307,62,AT – T,"The hairstylist fixes the hair with the screwdriver, and the barber with the gel.",Gapping,Instrument,-3.6389858722686768,-1.1357785354961047
308,62,AT – AT,"The hairstylist fixes the hair with the screwdriver, and the barber with Vaseline.",Gapping,Instrument,-3.6413633823394775,-0.7850413529769235
309,62,T – SP violation,"The hairstylist fixes the hair with the hairdryer, and the barber with the hat. ",Gapping,Instrument,-3.174361228942871,-0.7624439326199618
310,63,T – T,"The footballer hits the ball with his foot, and the tennis player with the racket. ",Gapping,Instrument,-3.751439332962036,-1.6101811197068956
311,63,T – AT,"The footballer hits the ball with his foot, and the tennis player with the hoe. ",Gapping,Instrument,-4.084685325622559,-1.972733285692003
312,63,AT – T,"The footballer hits the ball with the bat, and the tennis player with the racket.",Gapping,Instrument,-3.5373034477233887,-1.7768088711632624
313,63,AT – AT,"The footballer hits the ball with the bat, and the tennis player with the hoe.",Gapping,Instrument,-3.9121923446655273,-2.066840410232544
314,63,T – SP violation,"The footballer hits the ball with his foot, and the tennis player with the aunt. ",Gapping,Instrument,-4.8744730949401855,-2.844902992248535
315,64,T – T,"The dog digs a hole with its paw, and the farmer with the hoe.",Gapping,Instrument,-3.46506142616272,-1.5110526837800675
316,64,T – AT,"The dog digs a hole with its paw, and the farmer with the pen.",Gapping,Instrument,-3.957652091979981,-1.9464651743570964
317,64,AT – T,"The dog digs a hole with its tail, and the farmer with the hoe.",Gapping,Instrument,-3.5506792068481445,-1.787349541982015
318,64,AT – AT,"The dog digs a hole with its tail, and the farmer with the pen.",Gapping,Instrument,-4.068179130554199,-2.2489611120784985
319,64,T – SP violation,"The dog digs a hole with its paw, and the farmer with the wind.",Gapping,Instrument,-3.962656974792481,-2.0761423110961914
320,65,T – T,"The child crossed the park with the bicycle, and the skater with  rollerblades.",Gapping,Instrument,-4.597943305969238,-2.0168258723090675
321,65,T – AT,"The child crossed the park with the bicycle, and the skater with the tricycle.",Gapping,Instrument,-3.835275173187256,-1.5940587785508895
322,65,AT – T,"The child crossed the park with the truck, and the skater with rollerblades.",Gapping,Instrument,-4.203319549560547,-2.546107853160185
323,65,AT – AT,"The child crossed the park with the truck, and the skater with the tricycle.",Gapping,Instrument,-4.0309739112854,-1.9370005925496416
324,65,T – SP violation,"The child crossed the park with the bicycle, and the skater with the jacket.",Gapping,Instrument,-4.118705749511719,-2.521770417690277
325,66,T – T,"The tourist will travel with the boat, and the billionaire will with the yacht.",Pseudo-gapping,Instrument,-4.304229259490967,-2.6122469902038574
326,66,T – AT,"The tourist will travel with the boat, and the billionaire will with the kayak.",Pseudo-gapping,Instrument,-4.275640964508057,-2.00807433658176
327,66,AT – T,"The tourist will travel with the dinghy, and the billionaire will with the yacht.",Pseudo-gapping,Instrument,-4.305929660797119,-2.123004595438639
328,66,AT – AT,"The tourist will travel with the dinghy, and the billionaire will with the kayak. ",Pseudo-gapping,Instrument,-4.554183483123779,-1.6980782985687255
329,66,T – SP violation,"The tourist will travel with the boat, and the billionaire will with the sadness.",Pseudo-gapping,Instrument,-5.130644798278809,-3.705832839012146
330,67,T – T,"The fisherman will catch fish with the net, and the grandfather will with the fishing rod. ",Pseudo-gapping,Instrument,-4.007171630859375,-1.986034016860159
331,67,T – AT,"The fisherman will catch fish with the net, and the grandfather will with the gun. ",Pseudo-gapping,Instrument,-4.247593879699707,-2.3979985449049206
332,67,AT – T,"The fisherman will catch fish with the hammer, and the grandfather will with the fishing rod.",Pseudo-gapping,Instrument,-3.9192841053009033,-1.9097430078606856
333,67,AT – AT,"The fisherman will catch fish with the hammer, and the grandfather will with the gun.",Pseudo-gapping,Instrument,-4.184680938720703,-2.1556149588690863
334,67,T – SP violation,"The fisherman will catch fish with the net, and the grandfather will with the croissant. ",Pseudo-gapping,Instrument,-4.174304008483887,-1.827588762555804
335,68,T – T,"The photographer will take a picture with the camera, and the student will with the phone.",Pseudo-gapping,Instrument,-3.26871919631958,-1.7869542439778645
336,68,T – AT,"The photographer will take a picture with the camera, and the student will with the computer.",Pseudo-gapping,Instrument,-3.288637399673462,-1.7489172617594402
337,68,AT – T,"The photographer will take a picture with the tablet, and the student will with the phone.",Pseudo-gapping,Instrument,-3.5470449924468994,-2.034196058909098
338,68,AT – AT,"The photographer will take a picture with the tablet, and the student will with the computer.",Pseudo-gapping,Instrument,-3.6633358001708975,-2.0785228411356607
339,68,T – SP violation,"The photographer will take a picture with the camera, and the student will with the pasta.",Pseudo-gapping,Instrument,-3.789307117462158,-2.115569365651984
340,69,T – T,"The beautician will hydrate the skin with cream, and the masseuse will with oil.",Pseudo-gapping,Instrument,-4.085519790649414,-1.2581143171890925
341,69,T – AT,"The beautician will hydrate the skin with cream, and the masseuse will with gel. ",Pseudo-gapping,Instrument,-4.285025119781494,-1.177865505218506
342,69,AT – T,"The beautician will hydrate the skin with the acid, and the masseuse will with oil. ",Pseudo-gapping,Instrument,-4.412161827087402,-1.5535223484039309
343,69,AT – AT,"The beautician will hydrate the skin with the acid, and the masseuse will with gel.",Pseudo-gapping,Instrument,-4.44480562210083,-1.6494173010190327
344,69,T – SP violation,"The beautician will hydrate the skin with cream, and the masseuse will with tobacco.",Pseudo-gapping,Instrument,-4.6337480545043945,-1.5511267496191936
345,70,T – T,"The mother will water the plants with the watering can, the farmer will with the hose.",Pseudo-gapping,Instrument,-3.957951307296753,-2.46130381132427
346,70,T – AT,"The mother will water the plants with the watering can, the farmer will with the bucket.",Pseudo-gapping,Instrument,-3.964831113815308,-2.2236719382436654
347,70,AT – T,"The mother will water the plants with the bottle, the farmer will with the hose.",Pseudo-gapping,Instrument,-4.086156845092773,-2.69814536150764
348,70,AT – AT,"The mother will water the plants with the bottle, the farmer will with the bucket.",Pseudo-gapping,Instrument,-4.07774019241333,-2.4575151836170868
349,70,T – SP violation,"The mother will water the plants with the watering can, the farmer will with the hoe.",Pseudo-gapping,Instrument,-3.838219165802002,-2.132686352729797
350,71,T – T,"The policeman is hitting the demonstrator with something, but I don’t know what with.",Sluice-Stranding,Instrument,-4.66741943359375,-2.5658273696899414
351,71,T – AT,"The policeman is hitting the demonstrator with something, but I don’t know who with.",Sluice-Stranding,Instrument,-4.770669937133789,-2.8971031427383425
352,71,AT – T,"The policeman is hitting the demonstrator with someone, but I don’t know what with.",Sluice-Stranding,Instrument,-5.125687122344971,-3.08261103630066
353,71,AT – AT,"The policeman is hitting the demonstrator with someone, but I don’t know who with. ",Sluice-Stranding,Instrument,-5.169712066650391,-3.05170578956604
354,71,T – SP violation,"The policeman is hitting the demonstrator with something, but I don’t know where with.",Sluice-Stranding,Instrument,-4.831783294677734,-3.0179969549179075
355,72,T – T,"The journalist is writing an article with something, but I’m not sure what with.",Sluice-Stranding,Instrument,-4.598575115203857,-3.579285913043552
356,72,T – AT,"The journalist is writing an article with something, but I’m not sure who with.",Sluice-Stranding,Instrument,-4.840742588043213,-3.9907559553782144
357,72,AT – T,"The journalist is writing an article with someone, but I’m not sure what with.",Sluice-Stranding,Instrument,-4.582922458648682,-3.572974496417576
358,72,AT – AT,"The journalist is writing an article with someone, but I’m not sure who with.",Sluice-Stranding,Instrument,-4.561352252960205,-3.505586094326443
359,72,T – SP violation,"The journalist is writing an article with something, but I’m not sure how much with. ",Sluice-Stranding,Instrument,-4.870971202850342,-3.7168617750469006
360,73,T – T,"The gardener cut the grass with something, but she didn’t know what with.",Sluice-Stranding,Instrument,-4.670670509338379,-3.073204623328315
361,73,T – AT,"The gardener cut the grass with something, but she didn’t know who with.",Sluice-Stranding,Instrument,-4.836507797241211,-3.465922408633762
362,73,AT – T,"The gardener cut the grass with someone, but she didn’t know what with.",Sluice-Stranding,Instrument,-4.980985641479492,-3.303821908103095
363,73,AT – AT,"The gardener cut the grass with someone, but she didn’t know who with.",Sluice-Stranding,Instrument,-4.949368476867676,-3.28295628229777
364,73,T – SP violation,"The gardener cut the grass with something, but she didn’t know where with.",Sluice-Stranding,Instrument,-4.823032379150391,-3.444437901178996
365,74,T – T,"The photographer was capturing the image with something, but he doesn’t know what with.",Sluice-Stranding,Instrument,-5.00200891494751,-4.3246800899505615
366,74,T – AT,"The photographer was capturing the image with something, but he doesn’t know who with.",Sluice-Stranding,Instrument,-5.137924671173096,-4.620746930440267
367,74,AT – T,"The photographer was capturing the image with someone, but he doesn’t know what with. ",Sluice-Stranding,Instrument,-5.216740608215332,-4.648009697596232
368,74,AT – AT,"The photographer was capturing the image with someone, but he doesn’t know who with.",Sluice-Stranding,Instrument,-5.062211036682129,-4.341854280895657
369,74,T – SP violation,"The photographer was capturing the image with something, but he doesn’t know where with.",Sluice-Stranding,Instrument,-5.2967705726623535,-4.648529556062487
370,75,T – T,"The cook flipped the pancake with something, but I didn’t know what with.",Sluice-Stranding,Instrument,-5.0288801193237305,-3.9265153143141
371,75,T – AT,"The cook flipped the pancake with something, but I didn’t know who with.",Sluice-Stranding,Instrument,-5.218617916107178,-4.26481819152832
372,75,AT – T,"The cook flipped the pancake with someone, but I didn’t know what with. ",Sluice-Stranding,Instrument,-5.3733811378479,-4.3255238268110485
373,75,AT – AT,"The cook flipped the pancake with someone, but I didn’t know who with.",Sluice-Stranding,Instrument,-5.243366718292236,-4.289074129528469
374,75,T – SP violation,"The cook flipped the pancake with something, but I didn’t know how much with.",Sluice-Stranding,Instrument,-5.352626800537109,-4.004311486294395
375,76,T – T,"The housewife cleaned the table in the kitchen, but the waiter didn’t in the restaurant.",VP-ellipsis,Location,-4.576033115386963,-3.5248120069503783
376,76,T – AT,"The housewife cleaned the table in the kitchen, but the waiter didn’t in the classroom. ",VP-ellipsis,Location,-4.884038925170898,-4.010006260871887
377,76,AT – T,"The housewife cleaned the table in the armory, but the waiter didn’t in the restaurant.",VP-ellipsis,Location,-4.859828472137451,-3.438870452699207
378,76,AT – AT,"The housewife cleaned the table in the armory, but the waiter didn’t in the classroom.",VP-ellipsis,Location,-5.029653072357178,-3.857178120386033
379,76,T – SP violation,"The housewife cleaned the table in the kitchen, but the waiter didn’t in the cat.",VP-ellipsis,Location,-5.156328678131104,-4.349615454673767
380,77,T – T,"The student used the computer in the library, and the professor did in the office.",VP-ellipsis,Location,-3.634968280792236,-1.940845068763284
381,77,T – AT,"The student used the computer in the library, and the professor did in the pub.",VP-ellipsis,Location,-3.999840259552002,-2.297971108380486
382,77,AT – T,"The student used the computer in the helicopter, and the professor did in the office.",VP-ellipsis,Location,-4.181095600128174,-2.751824266770307
383,77,AT – AT,"The student used the computer in the helicopter, and the professor did in the pub.",VP-ellipsis,Location,-4.4671406745910645,-2.743762773625991
384,77,T – SP violation,"The student used the computer in the library, and the professor did in the shoes.",VP-ellipsis,Location,-4.178253173828125,-3.020022083731259
385,78,T – T,"The soldier celebrated the victory in the battlefield, the athlete will on the podium.",VP-ellipsis,Location,-4.814099788665772,-3.726545631885529
386,78,T – AT,"The soldier celebrated the victory in the battlefield, the athlete will in the car.",VP-ellipsis,Location,-4.969061374664307,-4.069841772317886
387,78,AT – T,"The soldier celebrated the victory in the university, the athlete will on the podium.",VP-ellipsis,Location,-5.180377006530762,-4.129992663860321
388,78,AT – AT,"The soldier celebrated the victory in the university, the athlete will in the car. ",VP-ellipsis,Location,-5.40310525894165,-4.371507048606873
389,78,T – SP violation,"The soldier celebrated the victory in the battlefield, the athlete will on the orange.",VP-ellipsis,Location,-5.485273838043213,-4.553840398788452
390,79,T – T,"The president delivered a speech in parliament, the priest did in the church.",VP-ellipsis,Location,-4.442552089691162,-2.709623114267985
391,79,T – AT,"The president delivered a speech in parliament, the priest did in the restaurant.",VP-ellipsis,Location,-4.9823994636535645,-3.339396476745605
392,79,AT – T,"The president delivered a speech in the mountain, the priest did in the church.",VP-ellipsis,Location,-4.499241352081299,-2.7956193685531616
393,79,AT – AT,"The president delivered a speech in the mountain, and the priest did in the restaurant.",VP-ellipsis,Location,-4.481713771820068,-3.1267306944903206
394,79,T – SP violation,"The president delivered a speech in the parliament, and the priest did in the circle.",VP-ellipsis,Location,-4.362107753753662,-3.3673567210926727
395,80,T – T,"The student heard the presentation in the university, the spectator will in the auditorium.",VP-ellipsis,Location,-5.137072563171387,-3.236368403715246
396,80,T – AT,"The student heard the presentation in the university, the spectator will in the bakery. ",VP-ellipsis,Location,-6.048513889312744,-3.8007951624253216
